group	fill	clickSelects
471	#FFFFFF	788
472	#FFFFFF	788
473	#FFFFFF	788
474	#FFFFFF	788
475	#FFFFFF	3529
476	#FFFFFF	3529
477	#FFFFFF	3529
478	#FFFFFF	788
479	#FFFFFF	488
480	#FFFFFF	788
481	#FFFFFF	788
482	#FFFFFF	788
483	#FFFFFF	788
484	#FFFFFF	788
485	#FFFFFF	788
486	#FFFFFF	788
487	#FFFFFF	788
488	#FFFFFF	788
489	#FFFFFF	788
490	#FFFFFF	488
491	#FFFFFF	788
492	#FFFFFF	623
493	#FFFFFF	623
494	#FFFFFF	623
495	#FFFFFF	788
496	#FFFFFF	788
497	#FFFFFF	623
498	#FFFFFF	623
499	#FFFFFF	623
501	#FFFFFF	488
502	#FFFFFF	488
503	#FFFFFF	488
504	#FFFFFF	488
505	#FFFFFF	2630
506	#FFFFFF	1703
507	#FFFFFF	488
508	#FFFFFF	488
509	#FFFFFF	2630
510	#FFFFFF	2630
511	#FFFFFF	2630
512	#FFFFFF	2630
513	#FFFFFF	2630
514	#FFFFFF	2630
515	#FFFFFF	2630
516	#FFFFFF	788
517	#FFFFFF	2630
518	#FFFFFF	2630
519	#FFFFFF	488
520	#FFFFFF	2630
521	#FFFFFF	788
522	#FFFFFF	788
523	#FFFFFF	788
524	#FFFFFF	788
525	#FFFFFF	3529
526	#FFFFFF	3529
527	#FFFFFF	788
528	#FFFFFF	3529
529	#FFFFFF	3529
530	#FFFFFF	488
531	#FFFFFF	788
532	#FFFFFF	788
533	#FFFFFF	788
534	#FFFFFF	788
535	#FFFFFF	788
536	#FFFFFF	788
537	#FFFFFF	788
538	#FFFFFF	788
539	#FFFFFF	788
540	#FFFFFF	788
541	#FFFFFF	488
542	#FFFFFF	788
543	#FFFFFF	623
544	#FFFFFF	623
545	#FFFFFF	788
546	#FFFFFF	788
547	#FFFFFF	623
548	#FFFFFF	623
549	#FFFFFF	623
550	#FFFFFF	623
551	#FFFFFF	488
552	#FFFFFF	488
553	#FFFFFF	488
554	#FFFFFF	2630
555	#FFFFFF	2630
557	#FFFFFF	1703
558	#FFFFFF	488
559	#FFFFFF	2630
560	#FFFFFF	2630
561	#FFFFFF	2630
562	#FFFFFF	2630
563	#FFFFFF	2630
564	#FFFFFF	2630
565	#FFFFFF	2630
566	#FFFFFF	2630
567	#FFFFFF	2630
568	#FFFFFF	2630
569	#FFFFFF	488
570	#FFFFFF	2630
571	#FFFFFF	788
572	#FFFFFF	788
573	#FFFFFF	788
574	#FFFFFF	788
575	#FFFFFF	3529
576	#FFFFFF	3529
577	#FFFFFF	3529
578	#FFFFFF	788
579	#FFFFFF	3529
580	#FFFFFF	488
581	#FFFFFF	788
582	#FFFFFF	3529
583	#FFFFFF	788
584	#FFFFFF	788
585	#FFFFFF	788
586	#FFFFFF	788
587	#FFFFFF	788
588	#FFFFFF	788
589	#FFFFFF	788
590	#FFFFFF	788
591	#FFFFFF	488
592	#FFFFFF	788
593	#FFFFFF	623
594	#FFFFFF	623
595	#FFFFFF	788
596	#FFFFFF	623
597	#FFFFFF	788
598	#FFFFFF	623
599	#FFFFFF	623
600	#FFFFFF	623
602	#FFFFFF	488
603	#FFFFFF	488
604	#FFFFFF	488
605	#FFFFFF	2630
606	#FFFFFF	2630
607	#FFFFFF	488
608	#FFFFFF	1703
609	#FFFFFF	488
610	#FFFFFF	2630
611	#FFFFFF	2630
612	#FFFFFF	2630
613	#FFFFFF	2630
614	#FFFFFF	2630
615	#FFFFFF	2630
616	#FFFFFF	2630
617	#FFFFFF	2630
618	#FFFFFF	2630
619	#FFFFFF	2630
620	#FFFFFF	488
621	#FFFFFF	788
622	#FFFFFF	788
623	#FFFFFF	788
624	#FFFFFF	788
625	#FFFFFF	3529
626	#FFFFFF	3529
627	#FFFFFF	788
628	#FFFFFF	788
629	#FFFFFF	3529
630	#FFFFFF	3529
631	#FFFFFF	488
632	#FFFFFF	3529
633	#FFFFFF	788
634	#FFFFFF	788
635	#FFFFFF	788
636	#FFFFFF	788
637	#FFFFFF	788
638	#FFFFFF	623
639	#FFFFFF	623
640	#FFFFFF	788
641	#FFFFFF	788
642	#FFFFFF	488
643	#FFFFFF	623
644	#FFFFFF	623
645	#FFFFFF	623
646	#FFFFFF	623
647	#FFFFFF	623
648	#FFFFFF	788
649	#FFFFFF	788
650	#FFFFFF	623
651	#FFFFFF	623
652	#FFFFFF	488
653	#FFFFFF	488
654	#FFFFFF	488
655	#FFFFFF	488
656	#FFFFFF	2630
658	#FFFFFF	1703
659	#FFFFFF	1703
660	#FFFFFF	2630
661	#FFFFFF	2630
662	#FFFFFF	2630
663	#FFFFFF	2630
664	#FFFFFF	2630
665	#FFFFFF	2630
666	#FFFFFF	2630
667	#FFFFFF	2630
668	#FFFFFF	2630
669	#FFFFFF	2630
670	#FFFFFF	488
671	#FFFFFF	2630
672	#FFFFFF	788
673	#FFFFFF	788
